key,description
node.net.iface.errors.in.rate.11,Input errors per second for interface 11
node.net.iface.errors.in.rate.12,Input errors per second for interface 12
node.net.iface.errors.in.rate.13,Input errors per second for interface 13
node.net.iface.errors.in.rate.14,Input errors per second for interface 14
node.net.iface.errors.in.rate.15,Input errors per second for interface 15
node.net.iface.errors.out.rate.0,Output errors per second for interface 0
node.net.iface.errors.out.rate.1,Output errors per second for interface 1
node.net.iface.errors.out.rate.2,Output errors per second for interface 2
node.net.iface.errors.out.rate.3,Output errors per second for interface 3
node.net.iface.errors.out.rate.4,Output errors per second for interface 4
node.net.iface.errors.out.rate.5,Output errors per second for interface 5
node.net.iface.errors.out.rate.6,Output errors per second for interface 6
node.net.iface.errors.out.rate.7,Output errors per second for interface 7
node.net.iface.errors.out.rate.8,Output errors per second for interface 8
node.net.iface.errors.out.rate.9,Output errors per second for interface 9
node.net.iface.errors.out.rate.10,Output errors per second for interface 10
node.net.iface.errors.out.rate.11,Output errors per second for interface 11
node.net.iface.errors.out.rate.12,Output errors per second for interface 12
node.net.iface.errors.out.rate.13,Output errors per second for interface 13
node.net.iface.errors.out.rate.14,Output errors per second for interface 14
node.net.iface.errors.out.rate.15,Output errors per second for interface 15
node.net.int.bytes.in.rate,Input bytes per second for a node's internal interfaces
node.net.int.bytes.out.rate,Output bytes per second for a node's internal interfaces
node.net.ext.bytes.in.rate,Input bytes per second for a node's external interfaces
node.net.ext.bytes.out.rate,Output bytes per second for a node's external interfaces
node.net.int.packets.in.rate,Input packets per second for a node's internal interfaces
node.net.int.packets.out.rate,Output packets per second for a node's internal interfaces
node.net.ext.packets.in.rate,Input packets per second for a node's external interfaces
node.net.ext.packets.out.rate,Output packets per second for a node's external interfaces
node.net.int.errors.in.rate,Input errors per second for a node's internal interfaces
node.net.int.errors.out.rate,Output errors per second for a node's internal interfaces
node.net.ext.errors.in.rate,Input errors per second for a node's external interfaces
node.net.ext.errors.out.rate,Output errors per second for a node's external interfaces
cluster.net.int.bytes.in.rate,Input bytes per second for all internal interfaces
cluster.net.int.bytes.out.rate,Output bytes per second for all internal interfaces
cluster.net.ext.bytes.in.rate,Input bytes per second for all external interfaces
cluster.net.ext.bytes.out.rate,Output bytes per second for all external interfaces
cluster.net.int.packets.in.rate,Input packets per second for all internal interfaces
cluster.net.int.packets.out.rate,Output packets per second for all internal interfaces
cluster.net.ext.packets.in.rate,Input packets per second for all external interfaces
cluster.net.ext.packets.out.rate,Output packets per second for all external interfaces
cluster.net.int.errors.in.rate,Input errors per second for all internal interfaces
cluster.net.int.errors.out.rate,Output errors per second for all internal interfaces
cluster.net.ext.errors.in.rate,Input errors per second for all external interfaces
cluster.net.ext.errors.out.rate,Output errors per second for all external interfaces
node.disk.count,Number of drive bays (maximum disk count)
node.disk.name.0,Bay name of disk with index 0
node.disk.name.1,Bay name of disk with index 1
node.disk.name.2,Bay name of disk with index 2
node.disk.name.3,Bay name of disk with index 3
node.disk.name.4,Bay name of disk with index 4
node.disk.name.5,Bay name of disk with index 5
node.disk.name.6,Bay name of disk with index 6
node.disk.name.7,Bay name of disk with index 7
node.disk.name.8,Bay name of disk with index 8
node.disk.name.9,Bay name of disk with index 9
node.disk.name.10,Bay name of disk with index 10
node.disk.name.11,Bay name of disk with index 11
node.disk.name.12,Bay name of disk with index 12
node.disk.name.13,Bay name of disk with index 13
node.disk.name.14,Bay name of disk with index 14
node.disk.name.15,Bay name of disk with index 15
node.disk.name.16,Bay name of disk with index 16
node.disk.name.17,Bay name of disk with index 17
node.disk.name.18,Bay name of disk with index 18
node.disk.name.19,Bay name of disk with index 19
node.disk.name.20,Bay name of disk with index 20
node.disk.name.21,Bay name of disk with index 21
node.disk.name.22,Bay name of disk with index 22
node.disk.name.23,Bay name of disk with index 23
node.disk.name.24,Bay name of disk with index 24
node.disk.name.25,Bay name of disk with index 25
node.disk.name.26,Bay name of disk with index 26
node.disk.name.27,Bay name of disk with index 27
node.disk.name.28,Bay name of disk with index 28
node.disk.name.29,Bay name of disk with index 29
node.disk.name.30,Bay name of disk with index 30
node.disk.name.31,Bay name of disk with index 31
node.disk.name.32,Bay name of disk with index 32
node.disk.name.33,Bay name of disk with index 33
node.disk.name.34,Bay name of disk with index 34
node.disk.name.35,Bay name of disk with index 35
node.disk.name.36,Bay name of disk with index 36
node.disk.name.37,Bay name of disk with index 37
node.disk.name.38,Bay name of disk with index 38
node.disk.name.39,Bay name of disk with index 39
node.disk.name.40,Bay name of disk with index 40
node.disk.name.41,Bay name of disk with index 41
node.disk.name.42,Bay name of disk with index 42
node.disk.name.43,Bay name of disk with index 43
node.disk.name.44,Bay name of disk with index 44
node.disk.name.45,Bay name of disk with index 45
node.disk.name.46,Bay name of disk with index 46
node.disk.name.47,Bay name of disk with index 47
node.disk.name.48,Bay name of disk with index 48
node.disk.name.49,Bay name of disk with index 49
node.disk.name.50,Bay name of disk with index 50
node.disk.name.51,Bay name of disk with index 51
node.disk.name.52,Bay name of disk with index 52
node.disk.name.53,Bay name of disk with index 53
node.disk.name.54,Bay name of disk with index 54
node.disk.name.55,Bay name of disk with index 55
node.disk.name.56,Bay name of disk with index 56
node.disk.name.57,Bay name of disk with index 57
node.disk.name.58,Bay name of disk with index 58
node.disk.name.59,Bay name of disk with index 59
node.disk.lnum.0,Logical number of disk with index 0
node.disk.lnum.1,Logical number of disk with index 1
node.disk.lnum.2,Logical number of disk with index 2
node.disk.lnum.3,Logical number of disk with index 3
node.disk.lnum.4,Logical number of disk with index 4
node.disk.lnum.5,Logical number of disk with index 5
node.disk.lnum.6,Logical number of disk with index 6
node.disk.lnum.7,Logical number of disk with index 7
node.disk.lnum.8,Logical number of disk with index 8
node.disk.lnum.9,Logical number of disk with index 9
node.disk.lnum.10,Logical number of disk with index 10
node.disk.lnum.11,Logical number of disk with index 11
node.disk.lnum.12,Logical number of disk with index 12
node.disk.lnum.13,Logical number of disk with index 13
node.disk.lnum.14,Logical number of disk with index 14
node.disk.lnum.15,Logical number of disk with index 15
node.disk.lnum.16,Logical number of disk with index 16
node.disk.lnum.17,Logical number of disk with index 17
node.disk.lnum.18,Logical number of disk with index 18
node.disk.lnum.19,Logical number of disk with index 19
node.disk.lnum.20,Logical number of disk with index 20
node.disk.lnum.21,Logical number of disk with index 21
node.disk.lnum.22,Logical number of disk with index 22
node.disk.lnum.23,Logical number of disk with index 23
node.disk.lnum.24,Logical number of disk with index 24
node.disk.lnum.25,Logical number of disk with index 25
node.disk.lnum.26,Logical number of disk with index 26
node.disk.lnum.27,Logical number of disk with index 27
node.disk.lnum.28,Logical number of disk with index 28
node.disk.lnum.29,Logical number of disk with index 29
node.disk.lnum.30,Logical number of disk with index 30
node.disk.lnum.31,Logical number of disk with index 31
node.disk.lnum.32,Logical number of disk with index 32
node.disk.lnum.33,Logical number of disk with index 33
node.disk.lnum.34,Logical number of disk with index 34
node.disk.lnum.35,Logical number of disk with index 35
node.disk.lnum.36,Logical number of disk with index 36
node.disk.lnum.37,Logical number of disk with index 37
node.disk.lnum.38,Logical number of disk with index 38
node.disk.lnum.39,Logical number of disk with index 39
node.disk.lnum.40,Logical number of disk with index 40
node.disk.lnum.41,Logical number of disk with index 41
node.disk.lnum.42,Logical number of disk with index 42
